ID_PARTIDO_POLITICO,PARTIDO_POLITICO,DISTRITO,CABECERA,TOTAL_VOTOS,PORCENTAJE,ORIGEN
6,MORENA,1,Durango,12370,27.73,HISTORICO
6,MORENA,2,Durango,13975,31.66,HISTORICO
6,MORENA,3,Durango,11331,33.58,HISTORICO
6,MORENA,4,Durango,14386,33.28,HISTORICO
6,MORENA,5,Durango,15228,25.79,HISTORICO
6,MORENA,6,Durango,17365,38.76,HISTORICO
6,MORENA,7,Santiago Papasquiaro,23446,45.78,HISTORICO
6,MORENA,8,Guadalupe Victoria,21943,40.96,HISTORICO
6,MORENA,9,Mapimí,25030,46.76,HISTORICO
6,MORENA,10,Gómez Palacio,19813,53.58,HISTORICO
6,MORENA,11,Gómez Palacio,22845,39.27,HISTORICO
6,MORENA,12,Gómez Palacio,24679,45.45,HISTORICO
6,MORENA,13,Lerdo,23682,42.53,HISTORICO
6,MORENA,14,Cuencamé,20480,40.75,HISTORICO
6,MORENA,15,Pueblo Nuevo,19038,44.04,HISTORICO
5,MC,1,Durango,4138,9.28,HISTORICO
5,MC,2,Durango,5615,12.72,HISTORICO
5,MC,3,Durango,3401,10.08,HISTORICO
5,MC,4,Durango,3608,8.35,HISTORICO
5,MC,5,Durango,13785,23.34,HISTORICO
5,MC,6,Durango,3390,7.57,HISTORICO
5,MC,7,Santiago Papasquiaro,891,1.74,HISTORICO
5,MC,8,Guadalupe Victoria,2777,5.18,HISTORICO
5,MC,9,Mapimí,1727,3.23,HISTORICO
5,MC,10,Gómez Palacio,1827,4.94,HISTORICO
5,MC,11,Gómez Palacio,7367,12.66,HISTORICO
5,MC,12,Gómez Palacio,5321,9.8,HISTORICO
5,MC,13,Lerdo,2382,4.28,HISTORICO
5,MC,14,Cuencamé,2457,4.89,HISTORICO
5,MC,15,Pueblo Nuevo,810,1.87,HISTORICO
1,PAN,1,Durango,11256,25.23,HISTORICO
1,PAN,2,Durango,8008,18.14,HISTORICO
1,PAN,3,Durango,5479,16.24,HISTORICO
1,PAN,4,Durango,7245,16.76,HISTORICO
1,PAN,5,Durango,12577,21.30,HISTORICO
1,PAN,6,Durango,9558,21.33,HISTORICO
1,PAN,7,Santiago Papasquiaro,13423,26.21,HISTORICO
1,PAN,8,Guadalupe Victoria,7027,13.12,HISTORICO
1,PAN,9,Mapimí,5774,10.79,HISTORICO
1,PAN,10,Gómez Palacio,1863,5.04,HISTORICO
1,PAN,11,Gómez Palacio,6376,10.96,HISTORICO
1,PAN,12,Gómez Palacio,5776,10.64,HISTORICO
1,PAN,13,Lerdo,6256,11.23,HISTORICO
1,PAN,14,Cuencamé,4928,9.81,HISTORICO
1,PAN,15,Pueblo Nuevo,2559,5.92,HISTORICO
2,PRI,1,Durango,10608,23.78,HISTORICO
2,PRI,2,Durango,10093,22.87,HISTORICO
2,PRI,3,Durango,8500,25.19,HISTORICO
2,PRI,4,Durango,12168,28.15,HISTORICO
2,PRI,5,Durango,12028,20.37,HISTORICO
2,PRI,6,Durango,9835,21.95,HISTORICO
2,PRI,7,Santiago Papasquiaro,8491,16.58,HISTORICO
2,PRI,8,Guadalupe Victoria,12114,22.61,HISTORICO
2,PRI,9,Mapimí,12829,23.97,HISTORICO
2,PRI,10,Gómez Palacio,10091,27.29,HISTORICO
2,PRI,11,Gómez Palacio,15582,26.78,HISTORICO
2,PRI,12,Gómez Palacio,13961,25.71,HISTORICO
2,PRI,13,Lerdo,18375,33.00,HISTORICO
2,PRI,14,Cuencamé,8660,17.23,HISTORICO
2,PRI,15,Pueblo Nuevo,15911,36.81,HISTORICO
4,PVEM,1,Durango,2340,5.25,HISTORICO
4,PVEM,2,Durango,2705,6.13,HISTORICO
4,PVEM,3,Durango,1792,5.31,HISTORICO
4,PVEM,4,Durango,1887,4.37,HISTORICO
4,PVEM,5,Durango,2012,3.41,HISTORICO
4,PVEM,6,Durango,1489,3.32,HISTORICO
4,PVEM,7,Santiago Papasquiaro,2943,5.75,HISTORICO
4,PVEM,8,Guadalupe Victoria,5132,9.58,HISTORICO
4,PVEM,9,Mapimí,2270,4.24,HISTORICO
4,PVEM,10,Gómez Palacio,1363,3.69,HISTORICO
4,PVEM,11,Gómez Palacio,1935,3.33,HISTORICO
4,PVEM,12,Gómez Palacio,1881,3.46,HISTORICO
4,PVEM,13,Lerdo,2388,4.29,HISTORICO
4,PVEM,14,Cuencamé,5684,11.31,HISTORICO
4,PVEM,15,Pueblo Nuevo,1731,4.00,HISTORICO
3,PT,1,Durango,2872,6.44,HISTORICO
3,PT,2,Durango,2756,6.24,HISTORICO
3,PT,3,Durango,2460,7.29,HISTORICO
3,PT,4,Durango,2980,6.89,HISTORICO
3,PT,5,Durango,2387,4.04,HISTORICO
3,PT,6,Durango,2345,5.23,HISTORICO
3,PT,7,Santiago Papasquiaro,1103,2.15,HISTORICO
3,PT,8,Guadalupe Victoria,1624,3.03,HISTORICO
3,PT,9,Mapimí,2701,5.05,HISTORICO
3,PT,10,Gómez Palacio,1434,3.88,HISTORICO
3,PT,11,Gómez Palacio,3106,5.34,HISTORICO
3,PT,12,Gómez Palacio,1826,3.36,HISTORICO
3,PT,13,Lerdo,1645,2.95,HISTORICO
3,PT,14,Cuencamé,4148,8.25,HISTORICO
3,PT,15,Pueblo Nuevo,2279,5.27,HISTORICO
